@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute 'Overdrive- Drive' numeric
@attribute Ch-Mix numeric
@attribute 'Rev- space' numeric
@attribute 'Rev - Mix' numeric
@attribute 'Del - Mix' numeric
@attribute 'Distorsion - Drive' numeric

@data
370,'2023/04/18 13:32:50:606',5,1307.885498,599.005859,654.72937,690.203369,175.456757,5796.162109,6593.100098,864.620483,882.911255,226.888901,308.762115,453.234955,103.303345,2020.32605,2270.071289,525.233398,724.872925,136.598297,195.226517,363.912903,78.175919,1023.758179,1127.723755,418.601685,0,0.8,0.702343,0.649606,0.645669,0.80315
371,'2023/04/18 13:32:51:142',5,4236.861328,919.065674,627.99408,794.177856,199.162659,5671.787109,6734.547363,1065.92334,2103.173584,478.277039,322.933228,460.599762,122.15596,2006.795166,2315.121826,594.46875,1575.167847,353.935089,218.430298,344.274902,89.329018,1068.917969,1167.672974,479.975037,0,0.8,0.702343,0.649606,0.645669,0.80315
372,'2023/04/18 13:32:51:670',5,26202.246094,2391.743164,828.115906,1363.421265,227.239304,5767.829102,6992.808105,2045.859985,16269.348633,1188.013672,381.732971,900.053589,127.414711,2254.770752,2572.270264,1264.799805,12695.115234,841.925659,249.90155,721.249756,94.110893,1427.416992,1506.692627,1032.338135,0,0.8,0.702343,0.649606,0.645669,0.80315
373,'2023/04/18 13:32:52:211',5,9123.046875,952.800476,829.669373,1097.685181,170.048538,4979.712402,7068.637207,951.21698,6163.054688,395.855835,407.370758,647.342957,95.988907,1818.392578,2425.139648,567.933594,4982.077148,260.31842,271.773743,497.423462,67.264023,994.970642,1168.769409,447.547638,0,0.8,0.702343,0.649606,0.645669,0.80315
374,'2023/04/18 13:32:52:754',5,3345.156006,854.683105,848.432617,1057.033203,190.624222,5667.405273,7983.42627,1991.650879,2046.959961,345.945374,429.2117,682.814209,102.580025,2203.91333,2847.671143,1240.209106,1665.945923,233.40358,285.57312,539.178101,74.891129,1368.96936,1544.001831,1031.886597,0,0.8,0.702343,0.649606,0.645669,0.80315
375,'2023/04/18 13:32:53:258',5,3442.383789,850.122131,1013.529114,1931.895264,167.236511,5070.381836,7289.153809,1165.078369,1981.673584,319.445648,459.819061,1032.457397,106.5037,1846.497803,2550.476074,605.132385,1569.517578,199.278992,272.755737,721.380005,84.347786,1030.921753,1336.437012,457.125854,0,0.8,0.702343,0.649606,0.645669,0.80315
376,'2023/04/18 13:32:53:782',5,3382.729736,2747.780273,668.570801,842.055847,125.475334,4890.595215,7437.751465,1359.051758,2106.876709,1077.622681,343.30368,498.382019,79.086021,1764.535278,2564.905518,771.223267,1692.115601,722.063965,232.7547,367.144867,59.630894,964.176819,1250.030396,610.32019,0,0.8,0.702343,0.649606,0.645669,0.80315
377,'2023/04/18 13:32:54:295',5,11435.871094,4438.134277,641.53479,516.127441,112.225616,5316.158203,7285.788574,1792.34082,4256.933105,1640.144531,326.178192,284.64447,67.33255,2153.889893,2748.031982,1058.983521,2905.947754,1006.350952,224.249283,209.872971,50.969273,1376.811279,1615.459229,845.109863,0,0.8,0.702343,0.649606,0.645669,0.80315
378,'2023/04/18 13:32:54:936',5,1984.838379,885.100891,617.173401,304.01593,240.112,4916.814941,7244.545898,1931.452148,1076.220337,328.886353,302.609497,208.565002,139.397736,1979.52478,2631.608643,1072.676758,755.080811,191.050751,202.809692,176.040268,100.877251,1176.818115,1380.863403,751.876038,0,0.8,0.702343,0.649606,0.645669,0.80315
379,'2023/04/18 13:32:55:488',5,1942.714722,705.468018,527.835876,239.056091,177.268936,5110.170898,6950.464355,2135.428467,1128.711426,305.067322,247.715256,151.593903,109.560852,1893.404297,2450.049805,1225.230713,874.232178,212.278763,166.509079,122.578484,83.040375,1065.72644,1276.852661,947.469055,0,0.8,0.702343,0.649606,0.645669,0.80315
