TIMESTAMP;STREAM_ID;SEQUENCE; Brachioradialis  Sx ; Brachioradialis  Dx ; Extensor Carpi Radialis Sx ; Extensor Carpi Radialis  Dx ; Triceps brachii Long Head Dx ; Deltoid  Lateral  Dx ; Abductor digiti minimi (hand) Sx ; Abductor digiti minimi (hand) Dx 
nan;96;18453;6156;6178;146;340;-7462;-1272;209;-5807
nan;96;18455;5063;4120;104;437;-6634;-1331;-419;-4098
nan;96;18457;-202;-1528;116;462;-920;-1104;-2569;1061
nan;96;18459;-5821;-6395;62;468;4818;-1218;-4506;5946
nan;96;18461;-8090;-7886;54;420;6932;-797;-5292;7531
nan;96;18463;-9914;-10026;97;2;8897;-39;-5429;9412
nan;96;18465;-16385;-18372;105;-78;15872;175;-8461;17960
nan;96;18467;-20683;-24000;-50;439;20418;-186;-10681;24208
nan;96;18469;-20132;-22629;-283;154;20314;-207;-9586;22763
nan;96;18471;-9632;-10101;-187;-94;10566;1444;-2478;10403
nan;96;18473;-2886;-3489;116;-281;5293;3412;1430;3537
nan;96;18475;-527;-501;9;-321;3592;2973;3234;133
nan;96;18477;6514;9014;53;-106;-3342;1706;6431;-9439
nan;96;18479;12933;16493;14;69;-10541;1903;8717;-16982
nan;96;18481;16197;19823;-12;-433;-14536;2039;10108;-20573
nan;96;18483;18103;17503;41;-612;-15130;1106;10611;-17765
nan;96;18485;14674;10538;29;1144;-11759;488;6715;-9335
nan;96;18487;12037;9676;268;1182;-14011;543;3806;-8501
nan;96;18489;12831;11754;343;664;-18201;1001;3932;-11104
nan;96;18491;9254;8511;246;472;-12214;1062;2060;-8345
nan;96;18493;5884;5646;245;-121;-6559;823;437;-5765
nan;96;18495;4868;5152;186;-535;-5104;264;-417;-5378
nan;96;18497;-73;-190;175;-470;-549;-362;-2156;-21
nan;96;18499;-5197;-5182;187;-339;4305;-650;-3617;4976
nan;96;18501;-6923;-6682;173;-245;6208;-1104;-3855;6740
nan;96;18503;-8925;-9732;44;-190;8609;-1701;-4255;9786
nan;96;18505;-15489;-17701;-98;-562;15472;-2120;-7715;17568
nan;96;18507;-20199;-22270;-244;-731;20754;-2096;-10178;21927
nan;96;18509;-19165;-20206;-326;-432;20504;-1633;-8789;19935
nan;96;18511;-9148;-8938;-171;-129;10750;-1062;-2193;9068
nan;96;18513;-2551;-2876;-116;0;3673;-222;1937;2916
nan;96;18515;-827;-505;-31;22;369;559;3195;559
nan;96;18517;6472;8100;256;-65;-7629;1592;6497;-7762
nan;96;18519;14047;15109;352;-81;-14613;1940;9791;-14869
nan;96;18521;18272;18684;270;33;-17612;1794;11803;-18545
nan;96;18523;18350;18694;331;143;-17132;1179;10645;-18396
nan;96;18525;13350;13596;317;175;-12965;206;5389;-13535
nan;96;18527;11609;12324;379;241;-11074;-405;3186;-12248
nan;96;18529;13203;13226;549;188;-11978;-784;4048;-13344
nan;96;18531;8674;8094;701;89;-7592;-657;1598;-8225
nan;96;18533;6236;5973;672;-131;-5138;-705;922;-6166
nan;96;18535;5466;5191;579;-351;-4571;-1018;452;-5450
nan;96;18537;-114;-1387;486;-310;908;-1082;-1381;1063
nan;96;18539;-5518;-6207;424;-109;5711;-1012;-3025;6108
nan;96;18541;-7422;-7413;317;23;6890;-855;-3789;7435
nan;96;18543;-9365;-9146;162;65;8179;-766;-4206;9062
nan;96;18545;-16070;-16594;-155;79;14345;-281;-7694;16424
nan;96;18547;-21036;-21853;-795;-130;19459;224;-10324;21562
nan;96;18549;-19466;-19273;-1299;-184;18220;78;-8810;19153
nan;96;18551;-9362;-8458;-1099;-39;8945;0;-2299;8602
nan;96;18553;-2911;-2726;-563;-20;3055;-31;1717;2767
nan;96;18555;-850;-1269;-353;71;1407;-270;3382;1190
nan;96;18557;6773;7748;-330;46;-5943;-650;6869;-7403
nan;96;18559;13274;14918;-157;37;-12865;-822;9355;-14694
nan;96;18561;17371;18767;-331;-8;-16659;-760;11650;-18567
nan;96;18563;18491;18738;-260;-11;-16639;-546;11955;-18593
nan;96;18565;13064;12601;18;53;-11963;-425;5906;-12672
nan;96;18567;11326;12174;148;156;-11334;-181;2897;-12297
nan;96;18569;12627;13319;207;153;-12627;538;3359;-13498
nan;96;18571;8253;8830;189;39;-9114;652;1343;-8855
nan;96;18573;4945;6625;180;67;-6738;-186;-347;-6623
nan;96;18575;3415;5241;161;23;-4675;-909;-1132;-5153
nan;96;18577;-2472;-1701;125;-395;2305;-1009;-2963;1386
nan;96;18579;-7292;-6323;85;-221;5791;-526;-4296;5848
nan;96;18581;-8861;-8139;73;319;7095;212;-4526;8056
nan;96;18583;-10333;-11461;86;239;9907;1174;-4225;11536
nan;96;18585;-17245;-19822;72;-64;17137;1992;-7374;19788
nan;96;18587;-21136;-23118;-15;-121;20050;2112;-9579;22815
nan;96;18589;-19783;-20746;-100;-28;18586;1122;-8430;20697
nan;96;18591;-9566;-10076;-144;-15;9840;178;-1778;10262
nan;96;18593;-2596;-4176;-97;-118;4015;-145;2347;4164
