@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric

@data
31,'2023/03/30 14:04:42:216',1,0.624615,0.661538,0.544615,0.630769,0.012092,0.011689,0.005862,0.010646,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
32,'2023/03/30 14:04:42:713',1,0.747692,0.747692,0.495385,0.538462,0.040683,0.037418,0.007259,0.00998,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
33,'2023/03/30 14:04:43:215',1,0.692308,0.76,0.686154,0.661538,0.013271,0.011223,0.004448,0.009436,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
34,'2023/03/30 14:04:43:716',1,0.766154,0.864615,0.692308,0.587692,0.02656,0.019766,0.003478,0.009116,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
35,'2023/03/30 14:04:44:221',1,0.790769,0.901538,0.544615,0.569231,0.015573,0.011043,0.004367,0.010487,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
36,'2023/03/30 14:04:44:718',1,0.827692,0.716923,0.501538,0.501538,0.016563,0.013249,0.003492,0.013386,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
37,'2023/03/30 14:04:45:220',1,0.741538,0.76,0.575385,0.624615,0.024789,0.012102,0.004527,0.009538,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
38,'2023/03/30 14:04:45:721',1,0.550769,0.667692,0.618462,0.655385,0.030659,0.015845,0.003643,0.007783,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
39,'2023/03/30 14:04:46:222',1,0.710769,0.686154,0.667692,0.624615,0.013705,0.013902,0.003327,0.008497,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
40,'2023/03/30 14:04:46:723',1,0.729231,0.716923,0.593846,0.606154,0.011712,0.011532,0.003467,0.007949,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
41,'2023/03/30 14:04:47:225',1,0.6,0.661538,0.655385,0.606154,0.012066,0.012237,0.003665,0.00776,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
42,'2023/03/30 14:04:47:725',1,0.704615,0.815385,0.526154,0.538462,0.016712,0.016437,0.004415,0.007575,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
