TIMESTAMP;STREAM_ID;SEQUENCE; Brachioradialis  Sx ; Brachioradialis  Dx ; Extensor Carpi Radialis Sx ; Extensor Carpi Radialis  Dx ; Triceps brachii Long Head Dx ; Deltoid  Lateral  Dx ; Abductor digiti minimi (hand) Sx ; Abductor digiti minimi (hand) Dx 
nan;96;21531;-176;-2231;-1509;1979;1754;-146;-12693;3433
nan;96;21533;-439;-2724;-1737;3143;1137;-239;-12509;2739
nan;96;21535;137;-1690;-2531;3594;-242;-286;-14489;1574
nan;96;21537;-1735;-1736;-3349;3336;-125;-336;-14179;1307
nan;96;21539;-3969;-1951;-2695;3087;554;-408;-7762;1435
nan;96;21541;-3184;-725;-1766;2054;-351;-488;-3695;1033
nan;96;21543;-2232;-156;-947;168;-989;-487;-3103;1266
nan;96;21545;-1254;617;-658;-1504;-1893;-420;203;1330
nan;96;21547;-493;1273;-1151;-2768;-1625;-385;955;628
nan;96;21549;-801;-85;-458;-4588;-151;-368;2025;1194
nan;96;21551;-89;-1227;-6;-5262;26;-266;8123;1684
nan;96;21553;1899;-289;-497;-3440;-1216;232;9826;-504
nan;96;21555;547;-2642;-630;-1416;731;341;5783;521
nan;96;21557;1470;-1303;-686;-590;380;34;3683;-1492
nan;96;21559;3305;1293;-2;-440;-2105;-94;5347;-3266
nan;96;21561;-359;-2144;575;70;768;-80;1518;760
nan;96;21563;-2710;-2885;631;543;2280;-39;-2240;2422
nan;96;21565;-4091;-2248;846;953;2946;-62;-4823;2848
nan;96;21567;-2833;5;461;347;1956;-35;-2557;1380
nan;96;21569;-1815;1740;-75;-1558;867;246;1223;-1428
nan;96;21571;-3649;-250;83;-2523;1778;32;-3434;189
nan;96;21573;-1034;4958;236;-1490;-2503;-176;-6390;-5690
nan;96;21575;1417;11573;-117;-494;-9301;-87;-4748;-14566
nan;96;21577;-1923;8245;-706;-549;-6825;-33;-3077;-11080
nan;96;21579;-1781;7449;-109;-1058;-5679;-32;-4160;-10388
nan;96;21581;-437;7630;94;-878;-5386;154;-6876;-9549
nan;96;21583;-2604;3687;238;-389;-2256;267;-737;-4670
nan;96;21585;-2927;2320;212;205;-1062;-96;9772;-3483
nan;96;21587;-1779;3009;-70;692;-1876;-629;12279;-4772
nan;96;21589;232;3922;0;642;-3744;-874;12098;-5910
nan;96;21591;-38;1784;410;-326;-3017;-788;10429;-3567
nan;96;21593;179;1581;892;-954;-2798;-545;10120;-4419
nan;96;21595;-380;1495;235;-132;-2376;-219;10629;-6231
nan;96;21597;570;2659;-131;714;-2384;193;9738;-7158
nan;96;21599;595;1582;1241;1070;-1719;363;9330;-4462
nan;96;21601;1684;-55;1455;1868;-743;357;10528;-1124
nan;96;21603;1272;-480;1017;2754;455;908;7056;-65
nan;96;21605;-1530;-1845;628;3112;2514;1267;2055;1457
nan;96;21607;-24;-38;222;3052;1556;1014;2750;-314
nan;96;21609;3181;2455;394;2080;-1216;594;4709;-2411
nan;96;21611;1727;803;852;-501;315;376;2803;-936
nan;96;21613;1210;738;174;-2829;851;347;3407;-2449
nan;96;21615;104;759;-235;-3575;218;187;3528;-3994
nan;96;21617;-2125;630;-258;-2645;270;-72;5641;-4356
nan;96;21619;-1006;1543;-148;-1488;-1279;-174;10102;-4840
nan;96;21621;-1395;2044;204;-1334;-1821;-211;11459;-3183
nan;96;21623;-730;3159;620;-1065;-3228;-227;15938;-2683
nan;96;21625;-205;2891;-35;-750;-1902;-254;19555;-1437
nan;96;21627;-196;2217;-767;-658;-81;-277;20587;-1778
nan;96;21629;632;1086;-314;-599;-273;-446;22152;-1392
nan;96;21631;1103;365;-212;96;-1354;-720;25420;763
nan;96;21633;2455;3127;-371;563;-5181;-1055;27191;-1049
nan;96;21635;1114;3555;-447;552;-5408;-1187;24670;-1368
nan;96;21637;-603;3865;-747;326;-4413;-1356;20267;-2314
nan;96;21639;-30;4308;-821;485;-4464;-1414;17707;-3734
nan;96;21641;-298;2666;218;845;-2587;-1015;14235;-2147
nan;96;21643;-2654;-288;909;996;1428;-168;9392;1353
nan;96;21645;-1737;-263;966;637;1980;875;8265;1364
nan;96;21647;-244;367;992;34;1184;1956;7005;451
nan;96;21649;-504;-836;851;87;1612;2587;5051;1651
nan;96;21651;29;-445;1376;614;372;1954;9260;2027
nan;96;21653;-505;-1124;2473;959;712;1026;7523;2679
nan;96;21655;-2331;-2997;2405;1041;2809;586;2587;3807
nan;96;21657;538;-800;1268;415;1194;329;9298;65
nan;96;21659;3505;2048;878;-145;-932;24;17000;-3972
nan;96;21661;2691;156;519;-150;470;-216;15278;-1487
nan;96;21663;2707;-621;-257;401;1164;-332;11825;255
nan;96;21665;3228;598;-1163;852;-432;-343;8370;-694
nan;96;21667;2863;983;-1140;1039;-2078;-329;8363;-1535
nan;96;21669;1903;475;-676;1038;-2494;-275;11654;-1915
nan;96;21671;2427;1634;-566;1009;-4464;-431;15136;-3555
nan;96;21673;2944;2081;-459;1516;-5901;-342;16363;-3077
nan;96;21675;1764;288;-345;1815;-3823;-234;13588;-850
nan;96;21677;1536;303;16;1734;-2582;-245;9888;266
nan;96;21679;2669;1229;130;1337;-2260;-268;9540;-672
nan;96;21681;-69;-1785;81;116;1504;-354;7571;239
nan;96;21683;-2606;-1846;-150;-2000;4110;-390;3471;-743
nan;96;21685;-2670;-675;-309;-2928;2728;-118;2238;-1563
nan;96;21687;-4502;-1376;-547;-2061;3000;423;-1797;-84
nan;96;21689;-4160;-841;961;-1869;2525;500;-2266;241
nan;96;21691;-3610;-1531;-124;-1338;2870;66;3748;796
nan;96;21693;-3147;-1069;-1686;-1101;3705;-273;6188;44
nan;96;21695;-2320;-908;90;-1071;3596;-498;4791;497
nan;96;21697;-727;-1085;-213;-621;3012;-232;4787;1716
nan;96;21699;2698;799;-714;331;1066;675;6642;122
nan;96;21701;4261;1877;2261;141;-203;554;3553;-1922
nan;96;21703;3113;674;3635;-23;70;-78;3276;145
nan;96;21705;2325;-193;2932;130;183;-389;5769;2995
nan;96;21707;2125;-474;1091;-105;399;-348;6220;2646
nan;96;21709;4697;852;-404;-632;-1440;-1;11427;492
nan;96;21711;4884;-343;-1430;-1192;-1602;120;13741;1578
nan;96;21713;4169;-366;-977;-1012;-1838;-288;14690;843
nan;96;21715;-141;-3697;450;-535;1828;-653;14140;2360
nan;96;21717;-805;-3726;701;81;3330;-537;16114;1565
nan;96;21719;595;-2838;-748;764;2882;-206;16217;1200
nan;96;21721;4107;332;-1292;1046;-548;-77;10845;-499
nan;96;21723;1481;-1027;-639;391;1142;-12;-3753;2443
nan;96;21725;-347;-2001;-1192;-91;3306;372;-8606;4661
nan;96;21727;228;-2175;-1873;-100;3871;539;-7915;5206
nan;96;21729;-95;-3096;-1032;-276;4311;625;-9547;6532
nan;96;21731;-732;-4554;-60;70;4827;1094;-8647;9623
nan;96;21733;-1312;-5431;291;1350;5838;910;-4370;11203
nan;96;21735;-2903;-7968;555;2291;8077;418;-1469;13611
nan;96;21737;-513;-5535;598;2160;6838;373;2486;11010
nan;96;21739;2747;-2460;569;2356;3282;314;6289;6452
nan;96;21741;2479;-2311;562;1748;2216;233;6508;5711
nan;96;21743;1377;-3186;353;-177;2104;-26;7172;7344
nan;96;21745;3405;200;167;-2223;-812;-125;11567;5109
nan;96;21747;3490;356;-20;-3350;-1505;-130;11979;5099
nan;96;21749;1103;-1612;-348;-3664;389;-184;8837;6237
nan;96;21751;1067;-1626;-647;-2867;-161;-384;10935;4667
nan;96;21753;3924;98;-879;-829;-2670;-600;14491;647
nan;96;21755;2577;-2501;-614;851;-474;-742;10655;1920
nan;96;21757;2086;-942;273;1579;-605;-919;5745;702
nan;96;21759;3265;196;357;1572;-1572;-1003;4727;-788
nan;96;21761;2329;-408;-467;1026;-468;-1050;3611;212
nan;96;21763;1041;-202;147;613;440;-1094;290;815
nan;96;21765;-205;-190;1053;207;989;-874;-3438;493
nan;96;21767;-2241;-1747;1484;-355;2548;-428;-6057;1635
nan;96;21769;-1214;-420;1713;-16;1302;-401;-3821;704
nan;96;21771;-1289;-991;1214;454;1238;-603;-4626;1489
nan;96;21773;-973;-1699;1020;639;2633;-470;-7174;2012
nan;96;21775;-1460;-2723;928;933;3985;171;-7422;2512
nan;96;21777;267;-462;-553;1628;1251;695;-2499;-143
nan;96;21779;704;-597;-2464;1919;1012;678;-3008;-235
nan;96;21781;1375;-535;-2855;1813;1026;706;-1914;-775
nan;96;21783;704;-858;-2061;1511;1141;1016;1519;-802
nan;96;21785;198;-1231;-2033;1700;1397;1370;4991;-495
nan;96;21787;-330;-2646;-1774;1146;2419;1347;5802;1899
nan;96;21789;1030;-1845;-1783;-347;1489;824;5946;2231
nan;96;21791;1676;-1161;-1228;-1246;818;165;5486;2064
nan;96;21793;2851;-620;-230;-1600;48;-412;9410;2217
nan;96;21795;3235;608;239;-2109;-921;-553;8819;969
nan;96;21797;2008;990;-54;-2240;-984;-73;560;-310
nan;96;21799;1219;368;-242;-1604;-685;545;-3944;-183
nan;96;21801;407;-1013;37;-521;474;741;-4924;361
nan;96;21803;-1434;-1983;354;-576;2064;711;-8266;1474
nan;96;21805;-2817;-2895;228;-758;3321;581;-6251;3514
nan;96;21807;-1055;-485;-149;-7;1891;529;-3576;1056
nan;96;21809;2457;2707;-153;218;-2354;182;-6080;-3845
nan;96;21811;-717;-723;117;-253;-552;-106;-11500;-298
nan;96;21813;-2332;-1567;-184;-1073;739;-192;-11543;2058
nan;96;21815;-1641;-547;-790;-1707;401;-228;-6521;2795
nan;96;21817;-785;-383;-1351;-1193;216;-277;-6158;3504
