TIMESTAMP;STREAM_ID;SEQUENCE; Brachioradialis  Sx ; Brachioradialis  Dx ; Extensor Carpi Radialis Sx ; Extensor Carpi Radialis  Dx ; Triceps brachii Long Head Dx ; Deltoid  Lateral  Dx ; Abductor digiti minimi (hand) Sx ; Abductor digiti minimi (hand) Dx
nan;96;45823;-954;-3871;4901;196;3240;4963;4626;3510
nan;96;45825;-1448;-5344;3096;319;5456;5094;10164;4012
nan;96;45827;-1467;-4977;-2919;463;5131;4419;10671;2046
nan;96;45829;162;-3117;-11609;732;2032;3191;12212;312
nan;96;45831;3377;-1132;-6255;663;-5542;2149;16269;-1042
nan;96;45833;5507;189;9004;-45;-10084;701;18609;-1771
nan;96;45835;5039;354;12613;-373;714;-325;18253;-1843
nan;96;45837;3290;-54;3263;257;8782;-543;11972;-2573
nan;96;45839;3527;1829;-6120;1050;8609;-128;8490;-5215
nan;96;45841;2135;3645;-3907;1356;6808;-168;5599;-7228
nan;96;45843;-1730;4578;-543;825;6005;-358;-3377;-5097
nan;96;45845;-3866;2508;-6472;380;5067;-198;-13487;993
nan;96;45847;-1120;1128;-20581;-149;6772;-288;-13428;3809
nan;96;45849;1602;-2166;-24775;-1103;10262;-370;-8287;6446
nan;96;45851;4066;-41;-7261;-923;8974;292;-2334;1460
nan;96;45853;2380;61;5794;505;8796;725;-1404;-1
nan;96;45855;842;-75;3020;789;9877;426;-1699;-10
nan;96;45857;1617;1007;-666;62;6802;115;290;-2138
nan;96;45859;474;929;-443;-533;3536;36;-248;-3070
nan;96;45861;-516;1406;3912;-448;1458;-317;643;-4834
nan;96;45863;-2297;433;9543;-565;817;-498;1918;-3242
nan;96;45865;-59;3431;3948;-762;-3151;-575;5482;-2476
nan;96;45867;3168;4725;-12245;-914;-6312;-951;8487;-2540
nan;96;45869;5136;3204;-15205;-863;-6401;-1256;10264;225
nan;96;45871;7413;2905;-10965;-1124;-7280;-1414;13962;941
nan;96;45873;8527;2588;-12619;-624;-8626;-1545;15605;977
nan;96;45875;8871;2640;-13080;522;-7430;-1520;14823;222
nan;96;45877;9610;2921;-6855;1615;-6312;-1391;13784;-1477
nan;96;45879;7377;1997;1567;3233;-3759;-1174;12301;-1322
nan;96;45881;6345;1572;-866;3843;-2150;-840;12519;-954
nan;96;45883;5684;-218;-3540;4787;-1370;-550;8497;2086
nan;96;45885;4805;-1561;-1586;6048;-2873;-696;2051;5330
nan;96;45887;1576;-3965;1105;4284;-1346;-1026;-3107;7262
nan;96;45889;747;-2550;2514;434;-2967;-1109;-4126;5463
nan;96;45891;482;-2790;4116;-3124;-5572;-773;-2275;6284
nan;96;45893;1017;-2138;5877;-5664;-6977;-400;-4122;6211
nan;96;45895;1425;-2111;5944;-7489;-5892;-220;-5947;5696
nan;96;45897;5116;-1109;4437;-6836;-5789;-220;-205;3684
nan;96;45899;2310;-2949;3545;-4870;-4892;14;-3605;3783
nan;96;45901;349;-3213;3473;-2613;-5445;29;-4992;3146
nan;96;45903;2688;-2455;3157;-1052;-7996;-181;818;1377
nan;96;45905;5225;-1697;3646;740;-7107;-308;7721;568
