TIMESTAMP;STREAM_ID;SEQUENCE; Brachioradialis  Sx ; Brachioradialis  Dx ; Extensor Carpi Radialis Sx ; Extensor Carpi Radialis  Dx ; Triceps brachii Long Head Dx ; Deltoid  Lateral  Dx ; Abductor digiti minimi (hand) Sx ; Abductor digiti minimi (hand) Dx
nan;96;4161;-263;-3302;-1716;-434;5946;-314;2953;8131
nan;96;4163;-1882;-1499;5236;-921;3474;-297;6698;4441
nan;96;4165;-3750;-146;4912;-1337;638;-312;6917;265
nan;96;4167;-4731;190;3690;-793;-2335;-241;5966;-1231
nan;96;4169;-3098;1559;-692;-468;-4458;-118;7886;-3575
nan;96;4171;-2742;1697;-4510;-417;-4171;6;7977;-4647
nan;96;4173;-2243;1046;-5613;-951;-1119;-31;3256;-4454
nan;96;4175;-29;785;-5554;-149;-747;-56;-3172;-1744
nan;96;4177;-502;121;-2891;788;-4263;-81;-8327;1537
nan;96;4179;-2932;-2167;1103;1711;-5207;49;-8880;3197
nan;96;4181;-4307;-3260;4619;2277;-4471;37;-15458;3726
nan;96;4183;-4562;-2993;5445;3362;-2421;110;-19700;3111
nan;96;4185;-3170;-2847;5453;3669;1562;81;-16481;3109
nan;96;4187;1028;-2081;3847;2850;3532;51;-12013;2994
nan;96;4189;285;-2586;2725;1199;5779;184;-17698;1883
nan;96;4191;-2290;-1180;3408;99;5315;172;-23338;600
nan;96;4193;-5391;-2973;2713;-817;5201;189;-25782;1913
nan;96;4195;-1260;-2031;1133;-1376;2755;117;-15870;-161
nan;96;4197;3114;-1208;1981;-2078;1256;65;-8223;-2551
nan;96;4199;146;-2503;4760;-1638;501;26;-8532;-1024
nan;96;4201;-4420;-4492;5637;-424;821;-91;-11493;3011
nan;96;4203;-4788;-7439;3921;-599;4114;-151;-9777;7392
nan;96;4205;-1458;-5040;3503;-1922;4704;-218;-1872;7501
nan;96;4207;2500;-399;2855;-1961;1169;-236;3386;5880
nan;96;4209;4929;-333;1290;-500;577;-258;9971;7117
nan;96;4211;7716;235;1574;-255;886;-157;15132;4863
nan;96;4213;2146;-1580;4696;-124;4741;-112;5924;3061
nan;96;4215;-1635;-2766;6518;-836;8688;-62;-1239;1724
nan;96;4217;1503;-3200;5250;-352;9549;63;-434;2362
nan;96;4219;5060;-3085;3125;860;9346;118;-3526;2839
nan;96;4221;3645;-4307;1617;-2;7577;146;-12270;5331
nan;96;4223;952;-5658;2635;-581;2841;86;-18524;7920
nan;96;4225;-833;-4806;4797;279;-1352;67;-22760;7709
nan;96;4227;-520;-2635;3561;1090;-2461;14;-23711;3630
