@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric

@data
29,'2023/04/07 18:08:29:484',1,0.630769,0.630769,0.532308,0.6,0.636923,0.581538,0.44,0.569231,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
30,'2023/04/07 18:08:29:885',1,0.544615,0.569231,0.470769,0.655385,0.563077,0.532308,0.507692,0.544615,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
31,'2023/04/07 18:08:30:288',1,0.44,0.661538,0.52,0.550769,0.544615,0.470769,0.52,0.575385,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
32,'2023/04/07 18:08:30:685',1,0.612308,0.643077,0.507692,0.575385,0.661538,0.532308,0.532308,0.526154,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
33,'2023/04/07 18:08:31:089',1,0.673846,0.741538,0.52,0.581538,0.513846,0.464615,0.563077,0.575385,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
34,'2023/04/07 18:08:31:492',1,0.661538,0.723077,0.513846,0.581538,0.550769,0.495385,0.458462,0.581538,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
35,'2023/04/07 18:08:31:892',1,0.636923,0.716923,0.538462,0.550769,0.495385,0.575385,0.464615,0.415385,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
36,'2023/04/07 18:08:32:292',1,0.575385,0.741538,0.452308,0.661538,0.593846,0.501538,0.575385,0.569231,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
37,'2023/04/07 18:08:32:692',1,0.550769,0.649231,0.513846,0.630769,0.581538,0.563077,0.532308,0.581538,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
38,'2023/04/07 18:08:33:095',1,0.606154,0.704615,0.495385,0.501538,0.52,0.563077,0.464615,0.452308,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
