TIMESTAMP;STREAM_ID;SEQUENCE; Brachioradialis  Sx ; Brachioradialis  Dx ; Extensor Carpi Radialis Sx ; Extensor Carpi Radialis  Dx ; Triceps brachii Long Head Dx ; Deltoid  Lateral  Dx ; Abductor digiti minimi (hand) Sx ; Abductor digiti minimi (hand) Dx
nan;96;50661;-923;-1046;276;144;2193;792;-4963;1479
nan;96;50663;-1358;-1572;631;76;2304;1029;-4002;2304
nan;96;50665;-1888;-1360;363;142;2086;1763;-3987;1970
nan;96;50667;-1862;-1281;-433;48;1595;1869;-3242;1562
nan;96;50669;-162;-938;-1028;-103;-24;1112;1688;526
nan;96;50671;-169;-1604;-1050;171;205;-201;3678;1067
nan;96;50673;1219;-615;-1089;531;-473;-1111;4922;439
nan;96;50675;1533;-326;-1227;581;-1141;-1703;5737;442
nan;96;50677;1438;49;-990;313;-2203;-2063;7126;78
nan;96;50679;809;413;-448;196;-2542;-2273;7343;-492
nan;96;50681;1416;1175;-70;412;-2989;-2046;7576;-1537
nan;96;50683;-124;1032;-13;672;-1656;-1032;3813;-1341
nan;96;50685;-2521;203;-59;598;-26;-251;245;-389
nan;96;50687;-659;3010;-16;-7;-1949;-483;652;-3339
nan;96;50689;-1159;3428;-183;-592;-1731;-1350;-2676;-4179
nan;96;50691;-2960;2025;-431;-1001;-213;-1836;-5984;-2792
nan;96;50693;-3330;363;-265;-1531;1674;-2218;-7243;-299
nan;96;50695;-3026;-319;-82;-1515;2187;-1969;-7034;841
nan;96;50697;-2182;-929;-35;-866;1794;-1371;-5496;1643
nan;96;50699;-1976;-2232;177;-618;2950;-28;-6121;2879
nan;96;50701;-623;-2515;308;-588;3584;1826;-6105;2566
nan;96;50703;582;-1768;449;-525;1971;3095;-3485;1573
nan;96;50705;-2211;-1918;546;-293;1787;1971;-2846;1742
nan;96;50707;-714;-2433;432;-135;2217;568;-2376;2511
nan;96;50709;285;-1990;117;-20;1398;948;1412;2328
nan;96;50711;872;-1498;-425;-27;1016;1035;4078;1516
nan;96;50713;1798;-376;-552;-13;-93;1057;5191;123
nan;96;50715;2848;-629;-219;320;-868;542;6526;76
nan;96;50717;3674;-552;-63;472;-1875;-129;8573;536
nan;96;50719;3006;-807;-2;487;-2316;-212;8793;714
nan;96;50721;1122;-1470;64;547;-1066;-871;5778;1239
nan;96;50723;1792;860;157;640;-1593;-1921;3052;-989
nan;96;50725;1578;1502;197;678;-2038;-2241;2031;-1424
nan;96;50727;-810;553;160;740;-742;-1995;-1171;-504
nan;96;50729;-1508;1471;169;805;-470;-1067;-4947;-1123
nan;96;50731;-2982;8;181;548;1484;376;-7682;577
nan;96;50733;-2705;-111;62;-294;2314;1910;-7896;425
nan;96;50735;-2667;-972;-59;-1401;2657;1455;-7991;862
nan;96;50737;-741;201;2;-1693;910;-248;-5534;-105
nan;96;50739;1855;2463;61;-885;-1602;-794;-3672;-1971
nan;96;50741;-723;-450;-18;-188;653;-970;-5570;957
nan;96;50743;-177;-1624;-39;17;1529;-231;-3134;1872
nan;96;50745;1574;-1581;135;95;1756;450;-1240;1390
nan;96;50747;2177;-759;442;127;1086;1041;-773;902
nan;96;50749;2375;-231;698;73;308;1278;1981;784
nan;96;50751;2575;55;1289;15;-160;1417;4209;528
nan;96;50753;2027;198;2131;-62;-192;1361;4292;419
nan;96;50755;4014;2397;2843;-120;-3023;1003;7420;-2071
nan;96;50757;3734;1832;2978;-36;-3566;811;7829;-2059
nan;96;50759;3054;1775;2698;67;-3561;397;7412;-2590
nan;96;50761;3515;2181;2594;43;-3496;-255;5488;-3105
nan;96;50763;1786;297;2127;28;-349;-737;669;-805
nan;96;50765;2292;683;921;129;-200;-1230;1063;-1021
nan;96;50767;2834;1596;-762;71;-1044;-1597;1651;-2263
nan;96;50769;1601;523;-2403;102;579;-1912;-2570;-1250
nan;96;50771;500;-358;-3824;162;1846;-2250;-5486;8
nan;96;50773;-943;-661;-4483;193;2546;-1946;-7578;571
nan;96;50775;-72;1156;-4591;304;253;-2118;-6280;-1218
nan;96;50777;397;389;-3479;504;-369;-2332;-4213;-817
nan;96;50779;484;-272;-1827;438;186;-1172;-4060;-313
nan;96;50781;-344;-995;-896;352;925;899;-5042;927
nan;96;50783;262;-614;-571;348;41;1712;-3723;1007
nan;96;50785;-745;-1844;-348;454;1163;1229;-4805;2558
nan;96;50787;1525;906;-141;298;-489;1364;-2729;115
nan;96;50789;4318;2166;-52;13;-2641;922;2856;-2028
nan;96;50791;3672;597;150;-69;-1431;1303;4497;-1145
nan;96;50793;2477;-1148;307;97;256;2470;4623;436
nan;96;50795;1635;-1561;694;178;620;2193;5145;988
nan;96;50797;3073;-422;928;254;-1371;1220;7721;-289
nan;96;50799;3579;-178;1099;191;-2234;-150;9047;-346
nan;96;50801;3178;-174;1324;-13;-1511;-213;7674;219
nan;96;50803;1722;-461;1552;-498;166;419;4134;730
nan;96;50805;914;-29;1582;-1070;-213;425;2559;325
nan;96;50807;-20;-104;1176;-831;-266;480;572;526
nan;96;50809;-1056;-48;353;-201;626;63;-2543;923
nan;96;50811;-1618;-816;22;168;2127;-901;-4555;1592
nan;96;50813;-1646;-1497;4;302;3142;-1350;-5160;2536
nan;96;50815;-1223;-1175;-1094;360;2358;-863;-5523;1645
nan;96;50817;-1699;-1378;-2812;391;1915;-130;-6124;945
nan;96;50819;-1947;-1172;-2580;317;1786;-538;-6088;1224
nan;96;50821;-1764;-311;-948;132;1468;-884;-4667;500
nan;96;50823;-2289;-453;-367;-174;1773;-1409;-3182;317
nan;96;50825;-1816;-942;-410;-578;2035;-2133;-2031;863
nan;96;50827;-836;-693;-327;-548;1815;-1759;-459;624
nan;96;50829;1361;933;-126;-386;-661;-499;3658;-1528
nan;96;50831;937;1700;45;-373;-1964;2562;4034;-2632
nan;96;50833;-295;1804;206;-230;-2346;3920;3188;-2489
nan;96;50835;-1715;-197;152;-94;-1500;2367;3418;-68
nan;96;50837;548;1581;71;0;-3357;795;7369;-1815
nan;96;50839;3903;3086;78;20;-5039;-280;11529;-3324
nan;96;50841;4005;1349;37;24;-2978;-737;10459;-1587
nan;96;50843;2023;790;116;143;-1366;-789;5258;-842
nan;96;50845;613;490;171;224;-762;-878;2383;-471
nan;96;50847;-1462;-1710;102;155;2119;-516;-439;1380
nan;96;50849;-3346;-2310;181;163;4172;849;-5010;2037
nan;96;50851;-2066;-1301;191;343;3476;2223;-5209;1273
nan;96;50853;-721;-224;218;511;2611;2582;-4046;263
nan;96;50855;-2369;-1945;182;371;3621;2721;-5945;1885
nan;96;50857;-2469;-1493;223;184;2554;2138;-5293;1187
nan;96;50859;-3027;-888;238;207;1705;657;-5573;550
nan;96;50861;-3700;-234;151;372;748;-303;-5845;105
nan;96;50863;-2471;234;143;511;-416;-841;-3817;-107
nan;96;50865;-1319;-377;198;429;-277;-1276;-3294;929
nan;96;50867;-544;15;215;-45;-1064;-1836;-2320;722
nan;96;50869;-166;-239;248;-475;-1250;-2762;1393;834
nan;96;50871;1288;342;278;-497;-1643;-4019;3945;351
nan;96;50873;677;-346;198;70;-562;-5129;3974;973
nan;96;50875;347;-505;208;480;-1044;-6098;6098;451
nan;96;50877;916;440;306;597;-2487;-6227;7716;-533
nan;96;50879;1574;338;298;473;-2656;-4627;8051;-212
nan;96;50881;3060;-13;226;120;-1439;-2548;8318;-240
nan;96;50883;3090;-365;233;-667;163;-149;5760;-277
nan;96;50885;872;-1357;126;-900;1603;3076;2999;774
nan;96;50887;621;-266;91;-479;1524;6019;2256;-234
nan;96;50889;1819;222;115;-268;1267;8738;839;-694
nan;96;50891;330;-498;313;-225;2379;8690;-1481;89
nan;96;50893;-1087;368;470;-254;1793;5458;-3981;-617
nan;96;50895;-558;1116;157;-203;249;3096;-5193;-1249
nan;96;50897;566;811;-16;-196;-345;1342;-5032;-1046
nan;96;50899;-936;178;-73;-340;516;285;-7152;-396
nan;96;50901;-2194;-643;-102;-468;1253;334;-6716;242
nan;96;50903;-1233;-169;-110;-418;515;395;-1727;-186
nan;96;50905;-1218;-559;-63;-131;607;-143;330;463
nan;96;50907;-420;-1024;43;50;335;-443;1178;887
nan;96;50909;543;-616;59;-24;-259;-676;4424;662
nan;96;50911;1248;206;16;-113;-892;-888;5869;244
nan;96;50913;1441;248;118;-51;-1059;-1069;6691;422
nan;96;50915;2754;985;229;51;-2682;-967;9661;-571
nan;96;50917;2941;792;187;53;-2949;-636;10832;-822
nan;96;50919;3105;943;261;-45;-2775;-291;11417;-954
nan;96;50921;4425;2361;279;-63;-3528;83;11751;-2266
nan;96;50923;2581;613;260;-42;-892;-124;7300;-617
nan;96;50925;1505;982;322;146;-498;203;6329;-1051
nan;96;50927;3122;4641;405;290;-3406;187;7256;-4873
nan;96;50929;4196;6157;521;344;-4221;-921;4525;-6299
nan;96;50931;7817;10387;695;375;-7778;-1564;7431;-10175
nan;96;50933;9597;12592;911;422;-9773;-1770;8695;-12073
nan;96;50935;6926;9908;1144;453;-8245;-1612;5581;-9834
nan;96;50937;3325;7512;1261;337;-6063;-930;2970;-7805
nan;96;50939;6622;10987;1033;-124;-9244;-318;5169;-11340
nan;96;50941;3421;8043;540;-682;-7405;409;2689;-8365
nan;96;50943;-1149;3419;429;-613;-3253;1334;230;-3696
nan;96;50945;-1200;2446;82;-371;-2384;1539;122;-2498
nan;96;50947;-3306;-1157;-696;-298;387;1030;-1223;1383
nan;96;50949;-8628;-7967;-1782;-276;6738;64;-4353;8040
nan;96;50951;-10294;-10408;-2043;-76;9539;-283;-4978;10133
nan;96;50953;-11027;-12116;-1752;111;11032;-165;-5251;11600
nan;96;50955;-17351;-19791;-1477;182;17363;-279;-10149;19537
nan;96;50957;-21318;-23099;-803;297;20487;-507;-12702;23159
nan;96;50959;-22227;-24075;-441;381;21163;-458;-12560;24169
nan;96;50961;-15347;-14943;-189;363;14286;-652;-6745;15379
nan;96;50963;-4941;-4213;182;274;4202;-734;554;4577
nan;96;50965;-2714;-2108;710;54;1481;-214;2124;2403
nan;96;50967;1349;2938;1032;-80;-2062;36;4766;-2367
nan;96;50969;10156;11706;1028;-45;-9652;-298;10361;-10948
nan;96;50971;14721;15910;1108;32;-13685;-294;13764;-15305
nan;96;50973;16524;17080;1174;46;-15148;46;15150;-16649
nan;96;50975;13301;13044;948;64;-12285;178;11608;-13090
nan;96;50977;9471;9900;239;38;-9191;-293;7724;-10072
nan;96;50979;11085;11922;-456;39;-10800;-1169;8690;-12001
nan;96;50981;8482;8870;-1000;8;-8362;-1262;6755;-9112
nan;96;50983;4244;4561;-1334;-21;-4326;-1698;4897;-4996
nan;96;50985;3094;3382;-1543;47;-2828;-2969;3773;-3805
nan;96;50987;873;937;-1335;81;-985;-3787;2459;-1538
nan;96;50989;-5068;-4295;-722;117;3854;-3436;-287;3847
nan;96;50991;-8319;-6690;-61;95;6136;-2783;-2128;6192
nan;96;50993;-10301;-8315;257;96;7648;-761;-3226;7784
nan;96;50995;-16488;-15827;250;112;13793;303;-7922;15244
